date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:49%20GMT	http://playdoge.io/assets/images/svg-icons/card.svg	C:/game/playdoge.io/assets/images/svg-icons/card.svg	(from https://playdoge.io/en)
05:40:48	869/869	---M--	200	added ('OK')	image/svg+xml	etag:%221b4274414d80ff48d098ab3931ea3ce4%22	https://playdoge.io/assets/images/svg-icons/card.svg	C:/game/playdoge.io/assets/images/svg-icons/card.svg	(from https://playdoge.io/en)
05:40:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:49%20GMT	http://playdoge.io/assets/images/svg-icons/BNB.svg	C:/game/playdoge.io/assets/images/svg-icons/BNB.svg	(from https://playdoge.io/en)
05:40:49	827/827	---M--	200	added ('OK')	image/svg+xml	etag:%22dd29e6ea860a2dda1e714f40d716e366%22	https://playdoge.io/assets/images/svg-icons/BNB.svg	C:/game/playdoge.io/assets/images/svg-icons/BNB.svg	(from https://playdoge.io/en)
05:40:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:50%20GMT	http://playdoge.io/assets/images/svg-icons/coincodex.svg	C:/game/playdoge.io/assets/images/svg-icons/coincodex.svg	(from https://playdoge.io/en)
05:40:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:51%20GMT	http://playdoge.io/assets/images/svg-icons/cryptonews.svg	C:/game/playdoge.io/assets/images/svg-icons/cryptonews.svg	(from https://playdoge.io/en)
05:40:50	4889/4889	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f53af5f39249b6ffe4fcf9e26d253aa%22	https://playdoge.io/assets/images/svg-icons/coincodex.svg	C:/game/playdoge.io/assets/images/svg-icons/coincodex.svg	(from https://playdoge.io/en)
05:40:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:52%20GMT	http://playdoge.io/assets/images/svg-icons/the-economic.svg	C:/game/playdoge.io/assets/images/svg-icons/the-economic.svg	(from https://playdoge.io/en)
05:40:51	8251/8251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cd7d7ea4f00ffa63007a58b0bf116a30%22	https://playdoge.io/assets/images/svg-icons/cryptonews.svg	C:/game/playdoge.io/assets/images/svg-icons/cryptonews.svg	(from https://playdoge.io/en)
05:40:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:53%20GMT	http://playdoge.io/assets/images/svg-icons/fxstreet.svg	C:/game/playdoge.io/assets/images/svg-icons/fxstreet.svg	(from https://playdoge.io/en)
